date,FIN,EN,IT,HC,IND,CD,CS,MAT,UTIL,RE,TEL
2005-01-03,16.08599281311035,9.504980087280273,8.010028839111328,20.733537673950195,20.51251983642578,13.457806587219238,13.196812629699707,9.217490196228027,6.583832263946533,27.919139862060547,34.602760314941406
2005-01-04,15.932646751403809,9.456070899963379,7.860771179199219,20.566774368286133,20.25944709777832,13.300427436828613,13.151077270507812,9.051492691040039,6.538394451141357,27.53594207763672,34.47013473510742
2005-01-05,15.906204223632812,9.415312767028809,7.833978176116943,20.532041549682617,20.119583129882812,13.25052547454834,13.082454681396484,8.9262113571167,6.435556888580322,26.50562286376953,34.04067611694336
2005-01-06,15.985520362854004,9.57834529876709,7.811018943786621,20.684900283813477,20.186187744140625,13.181435585021973,13.14534854888916,8.98572063446045,6.4690375328063965,26.732797622680664,34.07856369018555
2005-01-07,15.900917053222656,9.50225830078125,7.82632303237915,20.670997619628906,20.09294891357422,13.177592277526855,13.208245277404785,9.001382827758789,6.4690375328063965,26.73050308227539,34.26171875
2005-01-10,15.916789054870605,9.57291030883789,7.82632303237915,20.85165786743164,20.166210174560547,13.227490425109863,13.288302421569824,9.042096138000488,6.502516269683838,26.714445114135742,33.895408630371094
2005-01-11,15.848029136657715,9.586499214172363,7.749784469604492,20.705739974975586,20.07296371459961,13.143047332763672,13.231118202209473,8.948138236999512,6.483386039733887,26.38629913330078,33.87646484375
2005-01-12,15.826884269714355,9.754971504211426,7.791883945465088,20.844697952270508,20.0996036529541,13.219818115234375,13.271145820617676,9.007646560668945,6.502516269683838,26.28533172607422,33.440704345703125
2005-01-13,15.673541069030762,9.820186614990234,7.715342044830322,20.532041549682617,19.906469345092773,13.123859405517578,13.18537425994873,8.973197937011719,6.53361177444458,26.411542892456055,33.24491882324219
2005-01-14,15.726419448852539,9.907137870788574,7.738306999206543,20.615413665771484,20.039674758911133,13.246687889099121,13.259716033935547,9.05775260925293,6.5886149406433105,26.719032287597656,33.24491882324219
2005-01-18,15.974942207336426,10.004958152770996,7.822500705718994,20.78217124938965,20.119583129882812,13.358002662658691,13.396939277648926,9.092215538024902,6.64600944519043,27.01274299621582,33.882789611816406
2005-01-19,15.816303253173828,9.969635963439941,7.657936096191406,20.650161743164062,19.959747314453125,13.223651885986328,13.374065399169922,9.029572486877441,6.617311954498291,27.056331634521484,33.750160217285156
2005-01-20,15.699973106384277,9.869095802307129,7.604358673095703,20.545930862426758,19.779939651489258,12.985671997070312,13.362632751464844,8.979459762573242,6.595787048339844,26.88652992248535,33.16282272338867
2005-01-21,15.620655059814453,9.89083480834961,7.550779819488525,20.406967163085938,19.653392791748047,12.939605712890625,13.248270988464355,8.94187068939209,6.569482326507568,26.9507999420166,33.08702850341797
2005-01-24,15.625946998596191,9.977787971496582,7.489547252655029,20.23326301574707,19.593461990356445,12.812936782836914,13.196812629699707,8.816593170166016,6.6268792152404785,26.686904907226562,33.049137115478516
